연도,시도,주택소유 가구,무주택 가구,자가비율,평균자가비율
2015,서울특별시,1875295,1909195,0.4955211930801772,0.48935055736419264
2016,서울특별시,1864059,1920646,0.4925242522204505,0.48935055736419264
2017,서울특별시,1875189,1938071,0.49175482395640474,0.48935055736419264
2018,서울특별시,1884423,1955343,0.4907650622459806,0.48935055736419264
2019,서울특별시,1894875,2001514,0.4863156630408309,0.48935055736419264
2020,서울특별시,1928074,2054216,0.48416212782092716,0.48935055736419264
2021,서울특별시,1974544,2072255,0.48792737173257184,0.48935055736419264
2022,서울특별시,1991345,2107473,0.4858339648161982,0.48935055736419264
2015,부산광역시,786367,549533,0.5886421139306834,0.5807424798263621
2016,부산광역시,783542,560628,0.5829188272316745,0.5807424798263621
2017,부산광역시,791489,562912,0.584383059374587,0.5807424798263621
2018,부산광역시,796271,567337,0.5839442127062909,0.5807424798263621
2019,부산광역시,799696,577334,0.5807397079221223,0.5807424798263621
2020,부산광역시,809380,595657,0.576056004219106,0.5807424798263621
2021,부산광역시,822769,608596,0.5748142507326922,0.5807424798263621
2022,부산광역시,831691,616134,0.5744416624937406,0.5807424798263621
2015,대구광역시,533011,395517,0.574038693501973,0.5788022381548645
2016,대구광역시,537709,398044,0.5746270650481484,0.5788022381548645
2017,대구광역시,550374,397656,0.5805449194645739,0.5788022381548645
2018,대구광역시,557967,399549,0.5827234218540474,0.5788022381548645
2019,대구광역시,563282,405338,0.5815304247279635,0.5788022381548645
2020,대구광역시,569624,416192,0.5778197959862692,0.5788022381548645
2021,대구광역시,579620,421311,0.5790808757047189,0.5788022381548645
2022,대구광역시,586337,424497,0.5800527089512224,0.5788022381548645
2015,인천광역시,611847,433570,0.585265975204153,0.5791647069893555
2016,인천광역시,617040,445788,0.5805643057954815,0.5791647069893555
2017,인천광역시,630228,450057,0.5833904941751482,0.5791647069893555
2018,인천광역시,642745,452004,0.5871163161601426,0.5791647069893555
